step,train_loss,val_loss,lr,temperature,grad_norm,sec_per_step
0,5.2303,5.1499,1.000e-06,0.0700,10.944,5.738
1,5.3528,5.1499,2.000e-06,0.0700,10.683,7.380
2,5.2092,5.1499,3.000e-06,0.0700,9.812,0.087
3,5.2426,5.1499,4.000e-06,0.0700,10.972,0.084
4,5.1254,5.1499,5.000e-06,0.0700,9.126,0.104
5,5.2058,5.1499,6.000e-06,0.0700,9.698,0.084
6,5.1210,5.1499,7.000e-06,0.0700,9.436,0.085
7,5.1876,5.1499,8.000e-06,0.0700,9.838,0.092
8,5.1014,5.1499,9.000e-06,0.0700,9.020,0.085
9,5.1425,5.1499,1.000e-05,0.0700,9.169,0.153
10,5.1642,5.1499,1.100e-05,0.0700,8.471,0.092
11,5.1213,5.1499,1.200e-05,0.0700,7.995,0.160
12,5.0368,5.1499,1.300e-05,0.0700,8.156,0.089
13,5.1385,5.1499,1.400e-05,0.0700,8.485,0.166
14,5.1336,5.1499,1.500e-05,0.0700,8.028,0.088
15,5.0146,5.1499,1.600e-05,0.0700,7.292,0.154
16,5.0979,5.1499,1.700e-05,0.0700,6.931,0.088
17,4.9676,5.1499,1.800e-05,0.0700,6.654,0.181
18,5.0292,5.1499,1.900e-05,0.0700,6.278,0.102
19,4.9972,5.1499,2.000e-05,0.0700,5.874,0.158
20,5.0053,5.1499,2.100e-05,0.0700,6.034,0.089
21,5.0107,5.1499,2.200e-05,0.0700,5.806,0.182
22,4.9775,5.1499,2.300e-05,0.0700,4.911,0.084
23,4.9829,5.1499,2.400e-05,0.0700,5.129,0.168
24,4.9815,5.1499,2.500e-05,0.0700,4.542,0.083
25,4.9206,5.1499,2.600e-05,0.0700,4.742,0.184
26,4.9486,5.1499,2.700e-05,0.0700,5.030,0.088
27,4.9381,5.1499,2.800e-05,0.0700,4.214,0.197
28,4.9510,5.1499,2.900e-05,0.0700,5.489,0.086
29,4.8879,5.1499,3.000e-05,0.0700,4.326,0.166
30,4.9054,5.1499,3.100e-05,0.0700,3.625,0.083
31,4.8985,5.1499,3.200e-05,0.0700,3.572,0.172
32,4.8930,5.1499,3.300e-05,0.0700,4.448,0.081
33,4.8828,5.1499,3.400e-05,0.0700,3.359,0.177
34,4.8835,5.1499,3.500e-05,0.0700,3.065,0.085
35,4.8721,5.1499,3.600e-05,0.0700,3.324,0.156
36,4.8656,5.1499,3.700e-05,0.0700,3.377,0.082
37,4.8605,5.1499,3.800e-05,0.0700,3.268,0.162
38,4.8923,5.1499,3.900e-05,0.0700,2.775,0.082
39,4.9383,5.1499,4.000e-05,0.0700,3.285,0.201
40,4.8418,5.1499,4.100e-05,0.0701,3.733,0.086
41,4.8602,5.1499,4.200e-05,0.0701,2.579,0.161
42,4.8520,5.1499,4.300e-05,0.0701,2.616,0.087
43,4.8675,5.1499,4.400e-05,0.0701,2.624,0.159
44,4.8429,5.1499,4.500e-05,0.0701,3.021,0.087
45,4.8328,5.1499,4.600e-05,0.0701,2.401,0.170
46,4.8699,5.1499,4.700e-05,0.0701,2.390,0.081
47,4.8601,5.1499,4.800e-05,0.0701,2.793,0.154
48,4.8790,5.1499,4.900e-05,0.0701,2.714,0.080
49,4.8072,5.1499,5.000e-05,0.0701,2.567,0.182
50,4.8383,5.1499,5.100e-05,0.0701,2.234,0.088
51,4.8721,5.1499,5.200e-05,0.0701,3.097,0.161
52,4.8426,5.1499,5.300e-05,0.0701,2.670,0.086
53,4.8142,5.1499,5.400e-05,0.0701,2.333,0.164
54,4.8214,5.1499,5.500e-05,0.0701,2.558,0.077
55,4.8157,5.1499,5.600e-05,0.0701,2.449,0.171
56,4.8197,5.1499,5.700e-05,0.0701,2.695,0.090
57,4.8298,5.1499,5.800e-05,0.0701,2.136,0.164
58,4.8210,5.1499,5.900e-05,0.0701,2.350,0.075
59,4.7975,5.1499,6.000e-05,0.0701,2.812,0.155
60,4.8072,5.1499,6.100e-05,0.0701,2.269,0.081
